spec,group,drop,source,J_opt,J_df,J_p,N,b_k,b_l,b_m,b_amc,b_as,elas_k_mean,elas_l_mean,elas_m_mean,elas_k_negshare,elas_l_negshare,elas_m_negshare,rank_in_group,jp_gate_pass
dropone,G1_17_19,mlag,ivdrop_C_G1_17_19_drop_mlag,9.87395191192627,2,0.007176266983151436,23968,-0.03084970824420452,0.16338573396205902,0.3575505018234253,1.808402419090271,0.29306626319885254,0.24242879450321198,0.3348892033100128,0.3575505018234253,0.0,0.0,0,1.0,True
dropone,G1_17_19,klag,ivdrop_C_G1_17_19_drop_klag,17.284997940063477,2,0.00017644539184402674,23968,0.2886107861995697,0.23463018238544464,0.1340475231409073,1.8084042072296143,0.008166645653545856,0.3657486140727997,0.45122259855270386,0.1340475231409073,0.0,0.0,0,2.0,True
dropone,G1_17_19,lages2q,ivdrop_C_G1_17_19_drop_lages2q,21.08681297302246,2,2.6366766178398393e-05,23968,0.292000412940979,0.3304109573364258,0.1891300082206726,1.8083698749542236,-0.48475220799446106,0.33605891466140747,0.46138495206832886,0.1891300082206726,0.0,0.0,0,3.0,False
baseline_C,G1_17_19,(none),nonhicks_points_by_group,51.26960754394531,3,4.2860028026669994e-11,23968,-0.4436514973640442,1.951078176498413,0.22300265729427338,1.8084450960159302,-0.03894148766994476,0.2855129837989807,0.5371665954589844,0.22300265729427338,0.009679572656750679,0.027244659140706062,0,4.0,False
dropone,G1_17_19,llag,ivdrop_C_G1_17_19_drop_llag,173.5248260498047,2,2.0871881000221852e-38,23968,-0.09556252509355545,0.1395440250635147,0.5580052733421326,1.808394432067871,-0.003996692597866058,0.04103190824389458,0.513462245464325,0.5580052733421326,0.03942757099866867,0.0,0,5.0,False
dropone,G1_17_19,Z_HHI_post,ivdrop_C_G1_17_19_drop_Z_HHI_post,857.6981201171875,2,0.0,23968,-0.1886584460735321,0.20441031455993652,0.8706783056259155,1.8083953857421875,-0.2796454131603241,-0.1601862907409668,0.4397532045841217,0.8706783056259155,1.0,0.0,0,6.0,False
dropone,G1_17_19,Z_tariff,ivdrop_C_G1_17_19_drop_Z_tariff,815.5096435546875,2,0.0,23968,-0.3313334286212921,0.2951273024082184,0.874636173248291,1.808370590209961,-0.20680387318134308,-0.09070384502410889,0.30582165718078613,0.874636173248291,0.9790554046630859,0.0,0,6.0,False
dropone,G1_17_19,k_ind_yr,ivdrop_C_G1_17_19_drop_k_ind_yr,853.4771728515625,2,0.0,23968,-0.2703951895236969,0.1089022234082222,0.8793599009513855,1.8083845376968384,-0.4039875566959381,-0.16872303187847137,0.4413548409938812,0.8793599009513855,1.0,0.0,0,6.0,False
dropone,G1_17_19,l_ind_yr,ivdrop_C_G1_17_19_drop_l_ind_yr,850.0685424804688,2,0.0,23968,-0.3273887634277344,0.29069218039512634,0.8778671622276306,1.8083702325820923,-0.19228433072566986,-0.11525146663188934,0.34269988536834717,0.8778671622276306,1.0,0.0,0,6.0,False
dropone,G1_17_19,lages,ivdrop_C_G1_17_19_drop_lages,706.0553588867188,2,0.0,23968,-0.30687302350997925,0.4819459021091461,0.9376638531684875,1.8085558414459229,-1.1328542232513428,-0.20302148163318634,0.4746866226196289,0.9376638531684875,1.0,0.0,0,6.0,False
dropone,G1_17_19,m_ind_yr,ivdrop_C_G1_17_19_drop_m_ind_yr,813.8274536132812,2,0.0,23968,0.2616395056247711,0.20715180039405823,0.917830228805542,1.8084228038787842,-1.095731496810913,-0.34189313650131226,0.7947364449501038,0.917830228805542,1.0,0.0,0,6.0,False
dropone,G2_39_41,mlag,ivdrop_C_G2_39_41_drop_mlag,43.249576568603516,1,4.81842205024563e-11,23289,-0.13801032304763794,-0.07076351344585419,0.4625890851020813,2.622032642364502,0.09093108028173447,0.25009310245513916,0.2959039509296417,0.4625890851020813,0.0,0.0,0,1.0,False
baseline_C,G2_39_41,(none),nonhicks_points_by_group,61.543025970458984,2,4.3261506437733063e-14,23289,-0.44432443380355835,1.0646393299102783,0.24430008232593536,2.622044801712036,0.8567887544631958,0.2783157229423523,0.626504123210907,0.24430008232593536,0.011851088143885136,0.0,0,2.0,False
dropone,G2_39_41,l_ind_yr,ivdrop_C_G2_39_41_drop_l_ind_yr,61.701541900634766,1,3.996673716126107e-15,23289,0.09441601485013962,-0.3475692570209503,0.25265488028526306,2.622007131576538,-0.26885876059532166,0.4072335362434387,0.3504338562488556,0.25265488028526306,0.0,8.587745105614886e-05,0,3.0,False
dropone,G2_39_41,k_ind_yr,ivdrop_C_G2_39_41_drop_k_ind_yr,64.70115661621094,1,8.716383543995313e-16,23289,-0.1401119977235794,-0.12718158960342407,0.25237902998924255,2.6220459938049316,0.1904703974723816,0.43296611309051514,0.29782581329345703,0.25237902998924255,0.0,0.0,0,4.0,False
dropone,G2_39_41,lages2q,ivdrop_C_G2_39_41_drop_lages2q,65.18583679199219,1,6.815769724089935e-16,23289,-0.6052413582801819,0.16345985233783722,0.25109249353408813,2.6220650672912598,0.593356192111969,0.3408793807029724,0.38842102885246277,0.25109249353408813,0.01747606135904789,0.0,0,5.0,False
dropone,G2_39_41,llag,ivdrop_C_G2_39_41_drop_llag,95.55677032470703,1,1.4371050190580988e-22,23289,-0.1619730144739151,-0.029464349150657654,0.9585975408554077,2.621945858001709,-0.07823578268289566,-0.4596030116081238,0.8963906764984131,0.9585975408554077,1.0,0.0,0,6.0,False
dropone,G2_39_41,klag,ivdrop_C_G2_39_41_drop_klag,95.84449768066406,1,1.2427079825595298e-22,23289,-0.06724761426448822,-0.19149285554885864,0.9371932744979858,2.621939182281494,-0.07246473431587219,0.5721557140350342,-0.5628765225410461,0.9371932744979858,0.0,1.0,0,7.0,False
dropone,G2_39_41,lages,ivdrop_C_G2_39_41_drop_lages,148.4401092529297,1,3.801259907923861e-34,23289,-1.0501853227615356,-2.084984540939331,0.46347805857658386,2.6223461627960205,0.20481251180171967,0.44829556345939636,-0.37514546513557434,0.46347805857658386,0.04225170612335205,0.8602773547172546,0,8.0,False
dropone,G2_39_41,Z_HHI_post,ivdrop_C_G2_39_41_drop_Z_HHI_post,638.2459716796875,1,0.0,23289,-0.2879554033279419,0.2025044560432434,0.9861221313476562,2.62198805809021,-0.10251673310995102,0.0034273085184395313,0.06823988258838654,0.9861221313476562,0.47623342275619507,0.003606853075325489,0,9.0,False
dropone,G2_39_41,m_ind_yr,ivdrop_C_G2_39_41_drop_m_ind_yr,467.7876892089844,1,0.0,23289,0.04251060262322426,-0.08441220223903656,0.9857107400894165,2.6219558715820312,0.024200599640607834,0.008198682218790054,0.053733427077531815,0.9857107400894165,0.09141654521226883,0.018420713022351265,0,9.0,False
