brandname;Descriptor;UPC;Tobacco weight (mg);Filter density (mg/ml);Rod density (mg/ml);Paper permeability (CORESTA);Ventilation (%);
Baisha;Blue;191098;660.4;109.2;251.5;53.6;0;
Baisha;Combination;191838;693.4;116.9;258.5;52;0;
Baisha;Environmental protection;191432;681.4;114.3;258.2;49;0.3;
Baisha;Red, soft, treasure;192545;693.4;116.7;263.3;50.8;0;
Baisha;Silver lid;191500;690.6;111.8;240.2;52;0;
Baisha;White lid;191029;714.2;113.8;244.9;34.9;0;
Changzheng;Red hard pack;38638;678.2;115.7;241.6;53.9;2.5;
Chunghwa;Lights red;75794;751.2;114;246.7;52;20.9;
Cocopalm;Blue;2097;693.2;114.9;235.6;47.9;2;
Cocopalm;Green;2752;676.4;116.4;229.7;47.1;0.1;
Cocopalm;Red;2233;715;114;255.4;78.5;2.5;
Daqianmen;Soft pack;75916;728.6;117.2;248;55.8;3.9;
Derby;King size, tan;132268;676.8;118.9;236.5;57.2;22.1;
Derby;White, soft pack;126021;669.2;117.8;256.7;45.9;0;
Diaoyutai;Soft;326391;681.2;114.5;246.1;26.5;11.9;
Dihao;Golden hard;170765;687.2;120.4;240.2;46.8;0.5;
Double happiness;Elite;75602;752.8;113.3;255.9;27.4;21.9;
Double happiness;Lights green;75978;703.2;106.3;246.2;54.9;17;
Double happiness;Low tar;75824;726.8;107.1;250.1;52.8;20.7;
Double happiness;Regular;75800;737.8;117.9;243.1;51.6;2.8;
Double happiness;Soft;75817;730.4;113.1;237.9;57.3;3.6;
Double happiness;Super aromatic;75831;633;114.3;230.4;57.4;23.5;
Furong Xiangyan;Soft, gold;199414;699.6;121;244.9;38.1;2.2;
Furongwang;Masterwork;193856;660.4;84.3;255.6;52.2;0.1;
Furongwang;Yellow, lid;193498;729;122.3;248.8;52.6;0.9;
Golden leaf;Light of the century;161145;693.8;112.2;239.8;43.2;0.1;
Good fortune;Light red;50371;634.2;112.8;237.1;51.5;0.3;
Happiness;King size, red;50678;698.6;119.5;246.9;54.5;1.7;
Hatamen;Aromatic;149358;666.8;106.9;244.8;68.6;3.4;
Honghe;Lid;55048;637.4;114.9;240.8;52.6;0.2;
Honghe;Soft;55024;640;115;252;57.9;0.6;
Hongjinlong;Dance of the fire;180177;657.4;112.7;239.3;58.5;0.7;
Hongjinlong;Hard;179416;695.6;113.9;237.9;57.2;0.9;
Hongmei;Red super aromatic;317610;679.8;114.2;248.5;38.8;19.5;
Hongmei;White;315098;640.6;119.4;241.5;61;0.4;
Hongmei;Yellow lid;314145;690.2;111.4;256.6;57;0.1;
Hongmei;Yellow soft;48125;689.2;111.9;254;52.7;0.2;
Hongqiqu;Gold elite;164511;661.4;109.5;248.4;64.8;0.8;
Hongqiqu;Light of the milkyway;164542;645.4;118.2;246.4;55.1;14.2;
Hongqiqu;Silver, special 1st class;164375;639.8;111.8;239.2;64.3;0.9;
Hongtashan;Gold;314015;676.6;117.1;246.7;37.5;32.6;
Hongtashan;Red platinum;317450;688.2;111.9;247.4;59.6;18.5;
Hongtashan;Regular, red;316156;666.8;110.9;242.7;38.3;13.3;
Hongtashan;Yellow;48231;687.2;113.8;253.6;37.2;29.3;
Houwang;Hard;58032;668.4;114.1;252.3;57.1;1;
Jinmanggou;Green;166041;661.6;116.9;252.3;67.5;0;
Jinxuchang;Yellow soft;162012;685.4;110.3;227.4;46.5;1.2;
LanLing;Green;91794;670.8;118.4;257.7;40.5;0.2;
LanLing;Yellow;91176;691.8;112.8;248.2;54.1;1.5;
Lesser Panda;Black soft;337168;720.6;112.4;245.7;53.5;16.6;
Liqun;Hard;118170;711.4;119.2;252.9;56.4;2.8;
Liqun;Long filter;118811;583.4;111.1;225.9;45.8;0;
Mellow Furong;Yellow;193818;684.2;113.6;233.3;39.1;0;
Peony;Filter kings- red;75855;665.6;112.2;225.5;56.7;5.8;
Peony;Red;75589;698.6;115.6;229.1;61.7;0.4;
Peony;Red, soft pack;75862;710.2;119.2;261.8;61.1;4;
Peony;White;76012;714.6;117.9;242.2;58;4.3;
Pingtan;Red;69427;655.2;113.1;238.7;53.7;0.1;
Pingtanxian Gyan;White;69205;700.2;120.2;259.7;62;0.5;
Pride;Black, multi-coloured print;25577;729.4;104.9;258.2;56.9;0.4;
Sanhua;Blue;160018;668.6;111;218.2;39.9;1;
Shanghai;;75848;748.6;116.7;247.3;57.4;4.6;
Shuangxi;Classic hard pack;642;690.6;117.9;239.3;41.9;0.5;
Shuangxi;Soft pack;1489;698.2;114.9;228.2;48.7;1.1;
State Guests;Black, lights;52504;719.2;113;250.3;55.3;0.3;
Stone Forest;White;50883;656.2;120.3;235.1;48.8;1.3;
The Scarlet Camellia;Purple;310192;738;122.3;257.3;74.6;0.3;
The Scarlet Camellia;Red;45605;728.6;125.3;256;63;0.7;
Yizhibi;Hard;149396;688;102.6;248;62.5;0.9;
Yun Yan;Regular (purple);46886;647.6;119.2;243.2;58.4;0.6;
Yun Yan;Regular (white);45636;649.2;117.2;236.5;68.4;1.1;
Yun Yan;Regular, red;45575;705.8;113.7;239;67.4;1.6;
Yun Yan;Treasure;45902;713.6;114.6;238.1;61.1;0.2;
Zhongnanhai;Herb Blend Regular10;71284;648.4;109.9;210.8;60;27.8;
Zhongnanhai;Herb Blend- Regular8;71499;600;114.9;218.8;56.4;26.5;
Zhongnanhai;Red, regular, hard;72038;722;114.2;238.9;52.2;11.8;
Zhongnanhai;White, hard3;71673;591.2;117.8;216.8;58.3;59.2;
Zhongnanhai;White, hard, colourful8;71765;577.2;109.9;208.5;57;25;
;;;;;;;;
;;;;;;;;"Source: Cigarettes sold in China: design, emissions and metals
Richard J O'Connor,corresponding author1 Qiang Li,2 W Edryd Stephens,3 David Hammond,4 Tara Elton-Marshall,2 K Michael Cummings,1 Gary A Giovino,5 and Geoffrey T Fong2,6. Tobacco Control"
