zip4;county_name;county_coord
0100;Hohhot;40.842356,111.74999500000001
0244;Kharchin Banner;
0300;Taiyuan;37.87059,112.54887899999994
0434;Quwo County ;35.641086,111.47586000000001
0446;Ruicheng County ;34.693579,110.69436900000005
0500;Shijiazhuang ;38.042805,114.51489300000003
0710;Baoding;38.874434,115.46458899999993
0750;Zhangjiakou ;40.76754400000001,114.88633500000003
1000;Urban Beijing;39.90419989999999,116.40739630000007
1001;;
1011;Tongzhou District ;39.909946,116.65643399999999
1013;Shunyi District ;40.130347,116.65464999999995
1100;Shenyang ;41.805699,123.43147199999999
1123;Kaiyuan ;42.54630700000001,124.03826800000002
1125;Changtu County;42.785791,124.11109899999997
1143;Xiuyan Manchu Autonomous County;40.29088,123.28093509999997
1150;Yingkou;40.667433,122.23508400000003
1180;Dandong ;40.000787,124.35445000000004
1181;Fengcheng;40.452297,124.06691899999998
1224;Xifeng County;42.73802999999999,124.72739200000001
1241;Panshan County ;41.242873,121.99649899999997
1300;Changchun;43.817071,125.32354399999997
1313;Da'an ;
1330;Yanbian Korean Autonomous Prefecture(Yanji);42.891255,129.50894500000004
1337;Dunhua ;43.372464,128.2323169
1360;Siping;43.167787, 124.354149
1370;Baicheng;45.623702, 122.838291
1374;Ulan Hot, Horqin Right Middle Banner;46.085352, 122.042974
1500;Harbin ;45.805825, 126.532156
1515;Lanxi County ;46.257880, 126.295645
1520;Suihua ;46.654558, 126.970167
1521;Wangkui County ;46.838146, 126.490119
1523;Hailun;47.462619, 126.973918
1543;Huachuan County ;47.035852, 130.921439
1545;Boli County (in Qitaihe);45.761260, 130.592324
1546;Qitaihe ;45.772012, 131.005448
1559;Jixian County ;40.046799, 117.413626
1561;Fujin ;47.248773, 132.036875
1570;Mudanjiang ;44.553265, 129.633304
1571;Hailin ;44.604027, 129.367432
1572;Dongning ;44.102889, 131.145492
1573;Suifenhe ;44.407689, 131.150540
1575;Muling ;44.937006, 130.495022
1576;Linkou County ;45.282055, 130.277997
1582;;
1642;Sunwu County ;49.424677, 127.332790
2000;Shanghai;31.231437, 121.477914
2001;Minhang District ;31.078936, 121.399767
2012;;
2100;Nanjing ;32.065891, 118.788501
2131;Wujin District ;31.635276, 119.946959
2133;Liyang ;31.419198, 119.492976
2140;Wuxi –;31.494623, 120.311815
2154;Taicang –;31.459268, 121.130593
2210;Xuzhou ;34.213183, 117.295617
2211;Tongshan District ;34.182284, 117.160793
2230;Huai'an ;33.555052, 119.102513
2260;Nantong ;31.984539, 120.896249
2300;Hefei;31.821598, 117.227791
2330;Bengbu ;32.919947, 117.391926
2331;Fengyang County;32.875065, 117.531717
2335;Mengcheng County;33.270675, 116.565791
2336;Guoyang County ;33.497199, 116.215673
2353;Dangshan County;34.441368, 116.368492
2360;Fuyang ;32.891285, 115.815461
2368;Qiaocheng District ;33.878379, 115.782581
2390;Chuzhou ;32.256059, 118.326935
2410;Wuhu;31.352530, 118.431287
2440;Tongling ;30.953891, 117.792664
2501;Licheng District;36.682213, 117.065485
2526;Linqing ;36.837226, 115.706844
2530;Dezhou;37.435564, 116.357065
2550;Zibo ;36.815418, 118.054268
2610;Weifang;36.706471, 119.155633
2622;Zhucheng ;35.994608, 119.408751
2625;Qingzhou ;36.685604, 118.480450
2641;Muping District –;37.392380, 121.608848
2653;Qixia ;37.336834, 120.853212
2660;Qingdao ;36.068069, 120.378232
2661;Laoshan District ;36.109639, 120.470092
2665;Huangdao District;35.875992, 120.044027
2740;Heze ;35.237313, 115.479079
2760;Linyi ;35.114802, 118.354368
2764;Yishui County ;35.793808, 118.626203
2765;Ju County;35.583387, 118.834201
2775;Tengzhou;35.086354, 117.165091
3001;Tianjin ;39.364545, 117.341363
3100;Hangzhou ;30.285571, 120.159561
3145;Tongxiang ;30.631363, 120.552899
3150;Ningbo ;29.869160, 121.544150
3234;Songyang County;28.452632, 119.482451
3300;Nanchang;28.684432, 115.867996
3314;Xiajiang County;27.584842, 115.317656
3331;Poyang County;29.017778, 116.700914
3346;Guangfeng District ;28.436386, 118.189240
3414;Nankang District ;25.663437, 114.758030
3424;Xingguo County ;26.340410, 115.343519
3427;Shicheng County ;26.316623, 116.353725
3431;Ji'an County ;27.045803, 114.906255
3500;Fuzhou ;26.076355, 119.291276
3506;Luoyuan County;26.494228, 119.556731
3535;Songxi County;27.528600, 118.785044
3540;Shaowu;27.342214, 117.494846
3610;Xiamen ;24.481068, 118.089466
3633;Yunxiao County ;23.960409, 117.339132
3640;Longyan ;25.076321, 117.019158
3641;Yongding District;24.727340, 116.738802
3650;Sanming;26.264321, 117.640062
3651;Youxi County ;26.171417, 118.189924
3662;Liancheng County ;25.715012, 116.765232
4000;Chongqing ;29.555757, 106.569591
4040;Wanzhou District ;30.810124, 108.407430
4047;Wushan County ;31.076804, 109.882611
4080;Fuling District ;29.707140, 107.391821
4090;;
4091;Shizhu Tujia Autonomous County ;30.027440, 108.089874
4096;Pengshui Miao and Tujia Autonomous County ;29.301805, 108.164456
4097;Qianjiang District ;29.535696, 108.767740
4098;Youyang Tujia and Miao Autonomous County;28.862170, 108.771950
4099;Xiushan Tujia and Miao Autonomous County;28.461638, 109.009732
4100;Changsha ;28.233544, 112.951845
4103;Liuyang ;28.162710, 113.640096
4130;Yiyang ;28.555761, 112.356145
4150;Changde;29.038592, 111.705612
4160;Xiangxi Tujia and Miao Autonomous Prefecture (Jishou);28.319980, 109.735498
4162;Fenghuang County;27.948619, 109.610922
4167;Yongshun County ;29.001988, 109.847391
4168;Longshan County ;29.461068, 109.445209
4191;Zhijiang Dong Autonomous County;27.448024, 109.682296
4192;Xinhuang Dong Autonomous County;27.359673, 109.180566
4215;Changning ;26.423768, 112.402332
4216;Qidong County ;26.806646, 112.081567
4222;Longhui County ;27.115727, 111.031110
4229;;
4230;Chenzhou ;25.770978, 113.012235
4250;Yongzhou;26.416080, 111.605718
4255;Jianghua Yao Autonomous County;25.197402, 111.571132
4257;Xintian County;25.903381, 112.208917
4300;Wuhan ;30.589241, 114.309345
4315;;
4327;Guangshui ;31.622740, 113.828301
4328;Dawu County;31.565697, 114.113648
4340;Jingzhou ;30.353137, 112.189850
4341;Jiangling County;30.043195, 112.417182
4370;Xianning –;29.842833, 114.320993
4371;;
4384;Hong'an County;31.286111, 114.620146
4410;Xiangyang;32.022756, 112.141040
4412;Zaoyang City;32.132424, 112.769972
4425;Yunyang District;32.847661, 110.818741
4430;Yichang ;30.697074, 111.285662
4431;Yiling District ;30.776961, 111.321477
4437;Xingshan County ;31.351810, 110.741448
4441;Dangyang;30.823080, 111.800247
4443;Badong County;31.057141, 110.330888
4450;Enshi Tujia and Miao Autonomous Prefecture ;30.273790, 109.488780
4453;Jianshi County;30.602175, 109.729563
4454;Lichuan City ;30.303190, 108.922060
4455;Xuan'en County;29.983061, 109.496713
4456;Xianfeng County;29.665826, 109.136053
4457;Laifeng County;29.487435, 109.410750
4500;Zhengzhou ;34.751530, 113.607564
4511;Xinzheng ;34.399497, 113.735669
4530;Xinxiang;35.303731, 113.933758
4548;Wen County;34.944156, 113.083703
4550;Anyang – ;36.132473, 114.125686
4610;Xuchang;34.123954, 113.820620
4616;Yuzhou City ;34.145510, 113.481678
4620;Luohe ;33.582763, 114.013193
4626;Linying County ;33.829088, 113.935873
4630;Zhumadian;33.009414, 114.016819
4631;Suiping County;33.149211, 114.017554
4637;Biyang County ;32.728526, 113.320619
4644;Huaibin County;32.475347, 115.412519
4654;Guangshan County;32.012658, 114.924563
4660;Zhoukou ;33.626998, 114.698824
4666;Xihua County;33.770491, 114.537645
4674;Baofeng County;33.869862, 113.050386
4675;Ruzhou;34.168613, 112.840663
4700;;
4710;Luoyang;34.622104, 112.447101
4718;Xin'an County ;34.733728, 112.123531
4720;Sanmenxia ;34.773644, 111.203140
4730;Nanyang ;32.991816, 112.535861
4741;Dengzhou;32.693721, 112.097113
4750;Kaifeng;34.799390, 114.306218
4760;Shangqiu ;34.416657, 115.656513
4761;Shangqiu ;34.416657, 115.656513
4762;Zhecheng County ;34.092617, 115.306263
4771;Dancheng County;33.644063, 115.187753
5101;Guangzhou;23.130543, 113.265800
5103;Guangzhou;23.130543, 113.265800
5106;Guangzhou;23.130543, 113.265800
5108;Huadu District ;23.403388, 113.218602
5120;Shaoguan;24.811814, 113.595554
5124;Nanxiong ;25.124478, 114.310361
5134;Lianzhou ;24.779837, 112.377688
5140;Meizhou ;24.289361, 116.122401
5147;;
5151;Chaoyang District ;23.266369, 116.600091
5152;Huilai County;23.034241, 116.298136
5153;Puning ;23.305628, 116.165858
5180;Shenzhen;22.546152, 114.063483
5181;Bao'an District;22.557854, 113.880207
5190;Zhuhai;22.274950, 113.565996
5211;;
5240;Zhanjiang;21.272594, 110.361108
5244;Lianjiang;21.617270, 110.285278
5253;Xinyi ;22.354451, 110.950011
5274;Xinxing County ;22.697468, 112.226719
5282;Nanhai District ;23.029327, 113.142973
5291;Xinhui District ;22.459987, 113.036421
5293;Kaiping ;22.381975, 112.702298
5295;Heshan ;22.764788, 112.962479
5296;Yangjiang ;21.864740, 111.996078
5297;Yangchun ;22.179364, 111.790076
5300;Nanning;22.819564, 108.364687
5301;Wuming District;23.155536, 108.274801
5330;Baise ;23.904322, 106.616990
5353;Pubei County;22.271945, 109.551787
5373;Pingnan County;23.548306, 110.389222
5376;Bobai County;22.273970, 109.971469
5411;Lingui District ;25.284916, 110.182747
5424;Pingle County ;24.637116, 110.637552
5426;Zhongshan County;24.529008, 111.322812
5427;Fuchuan Yao Autonomous County;24.817686, 111.281247
5450;Liuzhou ;24.326898, 109.434489
5466;Lipu County;24.494715, 110.389136
5500;Guiyang;26.650375, 106.628828
5504;Weng'an County;27.079444, 107.460045
5513;Guiding County;26.583496, 107.235178
5515;Qianxi County ;27.012730, 106.028663
5516;Dafang County;27.145032, 105.617212
5517;Bijie ;27.304531, 105.286384
5518;Zhijin County;26.670148, 105.781874
5521;Zhijin County;26.670148, 105.781874
5530;Liupanshui ;26.594202, 104.826394
5531;Weining Yi, Hui, and Miao Autonomous County ;26.865979, 104.268930
5532;Hezhang County ;27.120875, 104.728274
5533;Nayong County;26.779772, 105.375327
5534;Liuzhi Special District;26.206033, 105.477881
5540;Yuping Dong Autonomous County (in Tongren);27.241559, 108.910399
5543;Bijiang District ;27.694661, 109.175690
5560;Qiandongnan Miao and Dong Autonomous Prefecture (Kaili);26.587561, 107.987907
5561;Huangping County ;26.904626, 107.913982
5580;Qiannan Buyei and Miao Autonomous Prefecture ;26.261352, 107.514827
5610;Anshun ;26.253656, 105.945287
5616;Pan County ;25.714184, 104.455938
5623;Xingren County ;25.438834, 105.182499
5624;Xingyi;25.092160, 104.903451
5630;Zunyi ;27.728675, 106.928514
5631;Bozhou District ;33.851537, 115.785294
5632;Tongzi County ;28.142482, 106.808791
5635;Daozhen Gelao and Miao Autonomous County;28.860916, 107.620559
5641;Meitan County ;27.753789, 107.467783
5643;Wuchuan Gelao and Miao Autonomous County;28.566577, 107.905349
5644;Yuqing County;27.216622, 107.907138
5651;Sinan County ;27.938450, 108.252434
5652;Dejiang County ;28.264603, 108.109061
5711;Qiongshan District ;20.004445, 110.365196
6100;Chengdu ;30.579814, 104.076807
6101;Longquanyi District ;30.556602, 104.278585
6115;Qionglai City ;30.409142, 103.460249
6150;Liangshan Yi Autonomous Prefecture(Xichang) ;27.895232, 102.264780
6151;Huili County ;26.664994, 102.244482
6152;Huidong County ;26.639381, 102.571197
6154;Ningnan County ;27.070438, 102.755705
6155;Dechang County ;27.404286, 102.166855
6184;Shifang ;31.127616, 104.163808
6210;Mianyang ;31.469188, 104.681854
6382;Peng'an County ;31.028412, 106.419421
6413;Ziyang;30.128412, 104.627438
6422;;
6440;Xingwen County ;28.309823, 105.228223
6460;Luzhou ;28.871691, 105.442140
6464;Xuyong County;28.156691, 105.437125
6500;Kunming;24.882195, 102.831537
6501;Xishan District;25.040890, 102.668884
6502;Guandu District ;25.014312, 102.737561
6514;Yongren County ;26.047004, 101.673467
6521;Yiliang County;24.923435, 103.148707
6522;Shilin Yi Autonomous County ;24.775037, 103.289173
6523;Mile City (;24.416976, 103.420596
6524;Luxi County;24.531021, 103.767405
6526;Jiangchuan District ;24.287965, 102.752191
6527;Tonghai County ;24.109050, 102.761557
6531;Yuxi;24.349120, 102.528872
6542;Huize County;26.428678, 103.302437
6543;Jianshui County ;23.636941, 102.816112
6546;Qiaojia County;26.913606, 102.925673
6550;Fuyuan County;25.670780, 104.256821
6558;Luoping County;24.882289, 104.305416
6570;Zhaotong ;27.339745, 103.716432
6571;Ludian County ;27.186255, 103.556694
6577;Suijiang County ;25.743252, 109.503933
6622;Shiping County ;23.710676, 102.492526
6630;Wenshan Zhuang and Miao Autonomous Prefecture (Wenshan City) ;23.386189, 104.235193
6665;;
6710;Dali Bai Autonomous Prefecture (Dali City) ;25.593346, 100.241457
6721;Eryuan County ;26.111716, 99.954657
6741;Lijiang ;26.861261, 100.224146
6742;Yongsheng County;26.676781, 100.743008
6750;Chuxiong Yi Autonomous Prefecture(Chuxiong City);25.046893, 101.528091
6780;Baoshan ;25.113900, 99.160538
7100;Xi'an ;34.339838, 108.940538
7112;Chunhua County ;34.800053, 108.580912
7120;Xianyang ;34.331065, 108.705594
7134;Yongshou County ;24.781953, 110.491306
7135;Bin County;35.044469, 108.075654
7136;Changwu County;35.206537, 107.800892
7152;Chengcheng County ;35.192465, 109.939655
7153;Heyang County ;35.237470, 110.152683
7160;Yan'an ;36.585805, 109.493068
7171;Yanchang County ;36.576086, 110.019201
7180;Suide County ;37.501674, 110.263752
7193;Shenmu County ;38.843858, 110.489530
7210;Baoji ;34.365302, 107.235154
7212;Long County ;34.895761, 106.857371
7231;Nanzheng County ;33.005339, 106.946333
7232;Chenggu County ;33.158465, 107.330308
7257;Xunyang County ;32.837166, 109.376102
7274;Luochuan County ;35.763271, 109.433792
7275;Fu County ;35.991198, 109.371023
7300;Lanzhou ;36.063556, 103.841495
7301;Yuzhong County ;35.844642, 104.104530
7410;Tianshui ;34.581879, 105.726071
7443;Jingchuan County;35.333815, 107.367898
7445;Zhenyuan County ;35.678065, 107.200725
7450;Qingyang ;35.710795, 107.643006
7452;Ning County ;35.508682, 107.940024
7453;Zhengning County;35.493883, 108.356834
7454;Heshui County ;35.828571, 108.014257
7511;Wuzhong ;37.997833, 106.198035
7565;Pengyang County;35.852788, 106.632987
8107;Ledu District;36.480909, 102.396017
8300;Ürümqi ;43.836491, 87.585383
8317;Jimsar County ;44.006536, 89.178002
8320;Shihezi ;44.308431, 86.082461
8332;Kuytun;44.429002, 84.896743
8366;Burqin County ;47.714379, 86.860289
